ár,sýsla,tilsamans
1980,Norðoya sýsla,1347
1980,Eysturoyar sýsla,2548
1980,Streymoyar sýsla,5316
1980,Vága sýsla,739
1980,Sandoyar sýsla,296
1980,Suðuroyar sýsla,1194
1985,Norðoya sýsla,1641
1985,Eysturoyar sýsla,3429
1985,Streymoyar sýsla,7008
1985,Vága sýsla,888
1985,Sandoyar sýsla,349
1985,Suðuroyar sýsla,1537
1989,Norðoya sýsla,2099
1989,Eysturoyar sýsla,4377
1989,Streymoyar sýsla,9008
1989,Vága sýsla,1138
1989,Sandoyar sýsla,435
1989,Suðuroyar sýsla,1838
1990,Norðoya sýsla,2062
1990,Eysturoyar sýsla,4320
1990,Streymoyar sýsla,9010
1990,Vága sýsla,1131
1990,Sandoyar sýsla,420
1990,Suðuroyar sýsla,1831
1995,Norðoya sýsla,1751
1995,Eysturoyar sýsla,3423
1995,Streymoyar sýsla,7115
1995,Vága sýsla,956
1995,Sandoyar sýsla,373
1995,Suðuroyar sýsla,1527
1996,Norðoya sýsla,1773
1996,Eysturoyar sýsla,3470
1996,Streymoyar sýsla,7394
1996,Vága sýsla,956
1996,Sandoyar sýsla,367
1996,Suðuroyar sýsla,1544
1997,Norðoya sýsla,1822
1997,Eysturoyar sýsla,3652
1997,Streymoyar sýsla,7746
1997,Vága sýsla,995
1997,Sandoyar sýsla,376
1997,Suðuroyar sýsla,1579
1998,Norðoya sýsla,1927
1998,Eysturoyar sýsla,3928
1998,Streymoyar sýsla,8120
1998,Vága sýsla,1053
1998,Sandoyar sýsla,391
1998,Suðuroyar sýsla,1637
1999,Norðoya sýsla,2042
1999,Eysturoyar sýsla,4160
1999,Streymoyar sýsla,8440
1999,Vága sýsla,1068
1999,Sandoyar sýsla,407
1999,Suðuroyar sýsla,1702
2000,Norðoya sýsla,2154
2000,Eysturoyar sýsla,4409
2000,Streymoyar sýsla,8930
2000,Vága sýsla,1109
2000,Sandoyar sýsla,441
2000,Suðuroyar sýsla,1805
2001,Norðoya sýsla,2236
2001,Eysturoyar sýsla,4581
2001,Streymoyar sýsla,9310
2001,Vága sýsla,1135
2001,Sandoyar sýsla,440
2001,Suðuroyar sýsla,1898
2002,Norðoya sýsla,2388
2002,Eysturoyar sýsla,4927
2002,Streymoyar sýsla,9980
2002,Vága sýsla,1221
2002,Sandoyar sýsla,471
2002,Suðuroyar sýsla,1987
2003,Norðoya sýsla,2542
2003,Eysturoyar sýsla,5244
2003,Streymoyar sýsla,10553
2003,Vága sýsla,1343
2003,Sandoyar sýsla,512
2003,Suðuroyar sýsla,2056
2004,Norðoya sýsla,2797
2004,Eysturoyar sýsla,5566
2004,Streymoyar sýsla,11386
2004,Vága sýsla,1507
2004,Sandoyar sýsla,585
2004,Suðuroyar sýsla,2316
2005,Norðoya sýsla,2868
2005,Eysturoyar sýsla,5826
2005,Streymoyar sýsla,11913
2005,Vága sýsla,1633
2005,Sandoyar sýsla,618
2005,Suðuroyar sýsla,2390
2006,Norðoya sýsla,2936
2006,Eysturoyar sýsla,6162
2006,Streymoyar sýsla,12501
2006,Vága sýsla,1720
2006,Sandoyar sýsla,644
2006,Suðuroyar sýsla,2473
2007,Norðoya sýsla,3173
2007,Eysturoyar sýsla,6618
2007,Streymoyar sýsla,13340
2007,Vága sýsla,1860
2007,Sandoyar sýsla,710
2007,Suðuroyar sýsla,2598
2008,Norðoya sýsla,3342
2008,Eysturoyar sýsla,6974
2008,Streymoyar sýsla,14255
2008,Vága sýsla,2022
2008,Sandoyar sýsla,763
2008,Suðuroyar sýsla,2724
2009,Norðoya sýsla,3358
2009,Eysturoyar sýsla,7019
2009,Streymoyar sýsla,14423
2009,Vága sýsla,2083
2009,Sandoyar sýsla,770
2009,Suðuroyar sýsla,2800
2010,Norðoya sýsla,3257
2010,Eysturoyar sýsla,6983
2010,Streymoyar sýsla,14085
2010,Vága sýsla,2035
2010,Sandoyar sýsla,743
2010,Suðuroyar sýsla,2785
2011,Norðoya sýsla,3265
2011,Eysturoyar sýsla,6999
2011,Streymoyar sýsla,14004
2011,Vága sýsla,2006
2011,Sandoyar sýsla,721
2011,Suðuroyar sýsla,2768
2012,Norðoya sýsla,3238
2012,Eysturoyar sýsla,7009
2012,Streymoyar sýsla,14107
2012,Vága sýsla,2050
2012,Sandoyar sýsla,743
2012,Suðuroyar sýsla,2767
2013,Norðoya sýsla,3270
2013,Eysturoyar sýsla,7151
2013,Streymoyar sýsla,14196
2013,Vága sýsla,2093
2013,Sandoyar sýsla,732
2013,Suðuroyar sýsla,2802
2014,Norðoya sýsla,3341
2014,Eysturoyar sýsla,7232
2014,Streymoyar sýsla,14551
2014,Vága sýsla,2125
2014,Sandoyar sýsla,741
2014,Suðuroyar sýsla,2888
2015,Norðoya sýsla,3458
2015,Eysturoyar sýsla,7402
2015,Streymoyar sýsla,14978
2015,Vága sýsla,2184
2015,Sandoyar sýsla,749
2015,Suðuroyar sýsla,2913
2016,Norðoya sýsla,3649
2016,Eysturoyar sýsla,7691
2016,Streymoyar sýsla,15500
2016,Vága sýsla,2223
2016,Sandoyar sýsla,772
2016,Suðuroyar sýsla,2989
2017,Norðoya sýsla,3781
2017,Eysturoyar sýsla,7996
2017,Streymoyar sýsla,16181
2017,Vága sýsla,2385
2017,Sandoyar sýsla,784
2017,Suðuroyar sýsla,3053
2018,Norðoya sýsla,4042
2018,Eysturoyar sýsla,8355
2018,Streymoyar sýsla,16791
2018,Vága sýsla,2531
2018,Sandoyar sýsla,812
2018,Suðuroyar sýsla,3100
2019,Norðoya sýsla,4240
2019,Eysturoyar sýsla,8621
2019,Streymoyar sýsla,17633
2019,Vága sýsla,2666
2019,Sandoyar sýsla,828
2019,Suðuroyar sýsla,3172
2020,Norðoya sýsla,4475
2020,Eysturoyar sýsla,9014
2020,Streymoyar sýsla,18296
2020,Vága sýsla,2824
2020,Sandoyar sýsla,835
2020,Suðuroyar sýsla,3310
2021,Norðoya sýsla,4697
2021,Eysturoyar sýsla,9419
2021,Streymoyar sýsla,18781
2021,Vága sýsla,2886
2021,Sandoyar sýsla,903
2021,Suðuroyar sýsla,3397
2022,Norðoya sýsla,4583
2022,Eysturoyar sýsla,9736
2022,Streymoyar sýsla,19656
2022,Vága sýsla,2966
2022,Sandoyar sýsla,951
2022,Suðuroyar sýsla,3504
