ár,slag,MWh
1990,Termisk,135761
1990,Vatn,75233
1990,Vindorka,NA
1991,Termisk,127834
1991,Vatn,74995
1991,Vindorka,NA
1992,Termisk,115253
1992,Vatn,83865
1992,Vindorka,NA
1993,Termisk,105782
1993,Vatn,73609
1993,Vindorka,423
1994,Termisk,98925
1994,Vatn,75871
1994,Vindorka,605
1995,Termisk,97638
1995,Vatn,76214
1995,Vindorka,570
1996,Termisk,111145
1996,Vatn,70267
1996,Vindorka,580
1997,Termisk,106444
1997,Vatn,75824
1997,Vindorka,550
1998,Termisk,113185
1998,Vatn,77274
1998,Vindorka,546
1999,Termisk,130609
1999,Vatn,70155
1999,Vindorka,562
2000,Termisk,136417
2000,Vatn,76022
2000,Vindorka,523
2001,Termisk,154760
2001,Vatn,75955
2001,Vindorka,504
2002,Termisk,143230
2002,Vatn,96500
2002,Vindorka,553
2003,Termisk,160286
2003,Vatn,85687
2003,Vindorka,2993
2004,Termisk,147026
2004,Vatn,94387
2004,Vindorka,7509
2005,Termisk,135569
2005,Vatn,98976
2005,Vindorka,10332
2006,Termisk,143557
2006,Vatn,100943
2006,Vindorka,14978
2007,Termisk,149206
2007,Vatn,104452
2007,Vindorka,15759
2008,Termisk,166980
2008,Vatn,95880
2008,Vindorka,12969
2009,Termisk,168117
2009,Vatn,92406
2009,Vindorka,15005
2010,Termisk,199344
2010,Vatn,67438
2010,Vindorka,13584
2011,Termisk,166815
2011,Vatn,92502
2011,Vindorka,14526
2012,Termisk,181012
2012,Vatn,99757
2012,Vindorka,10787
2013,Termisk,180095
2013,Vatn,90594
2013,Vindorka,21845
2014,Termisk,150242
2014,Vatn,120687
2014,Vindorka,34488
2015,Termisk,125539
2015,Vatn,133081
2015,Vindorka,55789
2016,Termisk,158903
2016,Vatn,106348
2016,Vindorka,52102
2017,Termisk,163415
2017,Vatn,111244
2017,Vindorka,59664
2018,Termisk,180130
2018,Vatn,108082
2018,Vindorka,63791
2019,Termisk,229952
2019,Vatn,103502
2019,Vindorka,52632
2020,Termisk,249443
2020,Vatn,108667
2020,Vindorka,47134
2021,Termisk,262394
2021,Vatn,100290
2021,Vindorka,54106
